# L_m H_m fuel_kg V_kmh
957.116 533.769 358.911 387.28
962.497 533.76 360.752 387.634
967.884 533.751 362.593 387.989
973.275 533.742 364.434 388.343
978.671 533.733 366.275 388.698
984.072 533.724 368.116 389.052
989.478 533.714 369.957 389.406
994.889 533.705 371.798 389.76
1000.3 533.696 373.639 390.114
1005.73 533.687 375.48 390.468
1011.15 533.678 377.321 390.822
1016.58 533.669 379.162 391.175
1022.02 533.66 381.003 391.529
1027.46 533.651 382.844 391.882
1032.9 533.642 384.685 392.236
1038.35 533.633 386.526 392.589
1043.81 533.624 388.367 392.942
1049.27 533.614 390.208 393.295
1054.73 533.605 392.049 393.648
1060.2 533.596 393.89 394.001
1065.68 533.587 395.731 394.354
1071.16 533.578 397.572 394.706
1076.64 533.569 399.413 395.059
1082.13 533.56 401.254 395.411
1087.62 533.551 403.095 395.764
1093.12 533.542 404.936 396.116
1098.63 533.533 406.778 396.468
1104.14 533.524 408.619 396.82
1109.65 533.515 410.46 397.172
1115.17 533.506 412.301 397.524
1120.69 533.497 414.142 397.876
1126.22 533.488 415.983 398.227
1131.75 533.479 417.824 398.579
1137.29 533.47 419.665 398.93
1142.84 533.461 421.506 399.282
1148.38 533.452 423.347 399.633
1153.94 533.443 425.188 399.984
1159.49 533.434 427.029 400.335
1165.06 533.425 428.87 400.686
1170.62 533.416 430.711 401.037
1176.2 533.408 432.552 401.388
1181.77 533.399 434.393 401.738
1187.36 533.39 436.234 402.089
1192.94 533.381 438.075 402.439
1198.54 533.372 439.916 402.789
1204.13 533.363 441.757 403.14
1209.73 533.354 443.598 403.49
1215.34 533.345 445.439 403.84
1220.95 533.336 447.28 404.19
1226.57 533.327 449.121 404.539
1232.19 533.319 450.962 404.889
1237.81 533.31 452.803 405.239
1243.44 533.301 454.644 405.588
1249.08 533.292 456.485 405.938
1254.72 533.283 458.326 406.287
1260.37 533.274 460.167 406.636
1266.02 533.265 462.008 406.985
1271.67 533.257 463.849 407.334
1277.33 533.248 465.69 407.683
1283 533.239 467.531 408.032
1288.67 533.23 469.372 408.38
1294.34 533.221 471.213 408.729
1300.02 533.212 473.054 409.078
1305.7 533.204 474.895 409.426
1311.39 533.195 476.736 409.774
1317.09 533.186 478.577 410.122
1322.78 533.177 480.418 410.47
1328.49 533.169 482.259 410.818
1334.2 533.16 484.1 411.166
1339.91 533.151 485.941 411.514
1345.63 533.142 487.782 411.862
1351.35 533.133 489.623 412.209
1357.08 533.125 491.463 412.557
1362.81 533.116 493.304 412.904
1368.55 533.107 495.145 413.251
1374.29 533.098 496.986 413.598
1380.04 533.09 498.827 413.945
1385.79 533.081 500.668 414.292
1391.54 533.072 502.509 414.639
1397.3 533.064 504.35 414.986
1403.07 533.055 506.191 415.332
1408.84 533.046 508.032 415.679
1414.62 533.038 509.873 416.025
1420.4 533.029 511.714 416.371
1426.18 533.02 513.555 416.718
1431.97 533.011 515.396 417.064
1437.77 533.003 517.237 417.41
1443.57 532.994 519.078 417.756
1449.37 532.986 520.919 418.101
1455.18 532.977 522.76 418.447
1461 532.968 524.601 418.793
1466.81 532.96 526.442 419.138
1472.64 532.951 528.283 419.483
1478.47 532.942 530.124 419.829
1484.3 532.934 531.965 420.174
1490.14 532.925 533.806 420.519
1495.98 532.916 535.647 420.864
1501.83 532.908 537.488 421.209
1507.68 532.899 539.329 421.553
1513.54 532.891 541.17 421.898
1519.4 532.882 543.011 422.242
1525.27 532.874 544.851 422.587
1531.14 532.865 546.692 422.931
1537.02 532.856 548.533 423.275
1542.9 532.848 550.374 423.619
1548.78 532.839 552.215 423.963
1554.67 532.831 554.056 424.307
1560.57 532.822 555.897 424.651
1566.47 532.814 557.738 424.995
1572.37 532.805 559.579 425.338
1578.28 532.797 561.42 425.682
1584.2 532.788 563.261 426.025
1590.12 532.78 565.102 426.368
1596.04 532.771 566.943 426.711
1601.97 532.763 568.784 427.054
1607.91 532.754 570.625 427.397
1613.84 532.746 572.466 427.74
1619.79 532.737 574.307 428.083
1625.74 532.729 576.148 428.426
1631.69 532.72 577.988 428.768
1637.65 532.712 579.829 429.11
1643.61 532.703 581.67 429.453
1649.57 532.695 583.511 429.795
1655.55 532.686 585.352 430.137
1661.52 532.678 587.193 430.479
1667.5 532.669 589.034 430.821
1673.49 532.661 590.875 431.163
1679.48 532.653 592.716 431.504
1685.48 532.644 594.557 431.846
1691.48 532.636 596.398 432.187
1697.48 532.627 598.239 432.529
1703.49 532.619 600.08 432.87
1709.51 532.611 601.921 433.211
1715.52 532.602 603.762 433.552
1721.55 532.594 605.602 433.893
